Time,Target_X,Target_Y,Target_Theta,Current_X,Current_Y,Current_Theta
2.39546,5,5,1.5708,-5.67513e-25,2.7102e-59,-9.55175e-35
2.4447,5,5,1.5708,-5.71693e-25,5.32206e-24,0.0149226
2.49289,5,5,1.5708,-5.71693e-25,5.32206e-24,0.067688
2.5421,5,5,1.5708,-5.71693e-25,5.32206e-24,0.0921956
2.59133,5,5,1.5708,-5.71693e-25,5.32206e-24,0.116132
2.63962,5,5,1.5708,5.05126e-08,7.47638e-09,0.161667
2.68888,5,5,1.5708,5.05129e-08,7.47643e-09,0.183238
2.73809,5,5,1.5708,5.05132e-08,7.47648e-09,0.204165
2.78666,5,5,1.5708,5.05137e-08,7.4766e-09,0.2444
2.83567,5,5,1.5708,5.0514e-08,7.47667e-09,0.263317
2.88411,5,5,1.5708,5.05145e-08,7.47682e-09,0.299329
2.93321,5,5,1.5708,5.05147e-08,7.4769e-09,0.316072
2.98239,5,5,1.5708,5.0515e-08,7.47697e-09,0.332347
3.03075,5,5,1.5708,5.05154e-08,7.47714e-09,0.363692
3.08,5,5,1.5708,5.05156e-08,7.47723e-09,0.378406
3.12831,5,5,1.5708,5.05161e-08,7.47741e-09,0.406449
3.17765,5,5,1.5708,5.05163e-08,7.47751e-09,0.419445
3.22671,5,5,1.5708,5.05165e-08,7.47761e-09,0.432109
3.27608,5,5,1.5708,5.05167e-08,7.47771e-09,0.444513
3.32508,5,5,1.5708,5.05167e-08,7.47771e-09,0.444513
3.37293,5,5,1.5708,5.0517e-08,7.47781e-09,0.456525
3.422,5,5,1.5708,5.05172e-08,7.47792e-09,0.467803
3.47123,5,5,1.5708,5.05174e-08,7.47803e-09,0.478838
3.51964,5,5,1.5708,5.05178e-08,7.47826e-09,0.50007
3.56897,5,5,1.5708,5.0518e-08,7.47837e-09,0.510069
3.61723,5,5,1.5708,5.05184e-08,7.47861e-09,0.529071
3.66641,5,5,1.5708,5.05186e-08,7.47873e-09,0.537919
3.71561,5,5,1.5708,5.05189e-08,7.47886e-09,0.54651
3.76399,5,5,1.5708,5.05193e-08,7.47911e-09,0.563047
3.81319,5,5,1.5708,5.05195e-08,7.47924e-09,0.570822
3.86159,5,5,1.5708,5.05199e-08,7.4795e-09,0.585615
3.91077,5,5,1.5708,5.05201e-08,7.47964e-09,0.592482
3.96001,5,5,1.5708,5.05203e-08,7.47977e-09,0.599171
4.00835,5,5,1.5708,5.05207e-08,7.48004e-09,0.612049
4.05754,5,5,1.5708,5.05209e-08,7.48018e-09,0.618084
4.10595,5,5,1.5708,5.05212e-08,7.48046e-09,0.629613
4.15516,5,5,1.5708,5.05214e-08,7.48061e-09,0.634955
4.2045,5,5,1.5708,5.05216e-08,7.48075e-09,0.640167
4.25272,5,5,1.5708,5.0522e-08,7.48104e-09,0.650209
4.30197,5,5,1.5708,5.05222e-08,7.48119e-09,0.654916
4.35029,5,5,1.5708,5.05226e-08,7.48148e-09,0.663906
4.39954,5,5,1.5708,5.05228e-08,7.48163e-09,0.668073
4.44875,5,5,1.5708,5.0523e-08,7.48178e-09,0.672137
4.49715,5,5,1.5708,5.05233e-08,7.48208e-09,0.679969
4.54642,5,5,1.5708,5.05235e-08,7.48223e-09,0.683632
4.59467,5,5,1.5708,5.05239e-08,7.48254e-09,0.69064
4.64391,5,5,1.5708,5.05241e-08,7.48269e-09,0.693883
4.69316,5,5,1.5708,5.05243e-08,7.48284e-09,0.697049
4.74151,5,5,1.5708,5.05246e-08,7.48315e-09,0.703155
4.79067,5,5,1.5708,5.05248e-08,7.48331e-09,0.706013
4.83913,5,5,1.5708,5.05252e-08,7.48362e-09,0.711477
4.88831,5,5,1.5708,5.05254e-08,7.48378e-09,0.714001
5.68532,5,5,1.5708,5.05256e-08,7.48394e-09,0.716471
5.73384,5,5,1.5708,5.05259e-08,7.48425e-09,0.721232
5.78302,5,5,1.5708,5.05261e-08,7.48441e-09,0.723457
5.8315,5,5,1.5708,5.05265e-08,7.48473e-09,0.72772
5.88066,5,5,1.5708,5.05266e-08,7.48489e-09,0.72969
5.92983,5,5,1.5708,5.05268e-08,7.48505e-09,0.731615
5.9783,5,5,1.5708,5.05272e-08,7.48537e-09,0.735328
6.02955,5,5,1.5708,5.05273e-08,7.48554e-09,0.737064
6.07649,5,5,1.5708,0.0889222,0.0808879,0.738326
6.12497,5,5,1.5708,0.440997,0.40181,0.739961
6.17416,5,5,1.5708,0.607735,0.55417,0.740795
6.22251,5,5,1.5708,0.731933,0.667828,0.74357
6.27182,5,5,1.5708,0.861672,0.787291,0.744538
